"Filename
",Raag,Artist,Instrument,Tonic Frequency
Amit_Bageshri_03.wav,Bageshri,Amit Mukherjee,Voice,293.6
Amit_Bhairav_06.wav,Bhairav,Amit Mukherjee,Voice,293.6
Amit_Bihag_10.wav,Bihag,Amit Mukherjee,Voice,293.6
Amit_Darbari_02.wav,Darbari,Amit Mukherjee,Voice,293.6
Amit_GaudMalhar_04.wav,Gaud_Malhar,Amit Mukherjee,Voice,293.6
Amit_KRAsaveri_07.wav,Komal_Rishabh_Asaveri,Amit Mukherjee,Voice,293.6
Amit_Khamaj_05.wav,Khamaj,Amit Mukherjee,Voice,293.6
Amit_Malkauns_01.wav,Malkauns,Amit Mukherjee,Voice,293.6
Amit_Marwa_09.wav,Marwa,Amit Mukherjee,Voice,293.6
basavraj_Hameer.wav,Hameer,Basavraj Rajguru,Voice,361
bgak_DarbariKanada.wav,Darbari_Kanhra,Bade Ghulam Ali Khan,Voice,283
bgak_Desh.wav,Desh,Bade Ghulam Ali Khan,Voice,269
bgak_Jaijaiwante.wav,Jaijaiwante,Bade Ghulam Ali Khan,Voice,294
bgak_Kedar.wav,Kedar,Bade Ghulam Ali Khan,Voice,294
bgak_Malkauns.wav,Malkauns,Bade Ghulam Ali Khan,Voice,298
bk_Jaijaiwante.wav,Jaijaiwante,Bismillah Khan,Shenai,292
dvp_Hameer.wav,Hameer,D.V. Paluskar,Voice,330
dvp_Kedar.wav,Kedar,D.V. Paluskar,Voice,335
dvp_Malkauns.wav,Malkauns,D.V. Paluskar,Voice,236
dvp_Shree.wav,Shree,D.V. Paluskar,Voice,321
dvp_TilakKamod.wav,Tilak_Kamod,D.V. Paluskar,Voice,335
Falguni_Bhairav_Alap1.wav,Bhairav,Falguni Mitra,Voice,277
Falguni_Bhairav_Bandish1.wav,Bhairav,Falguni Mitra,Voice,277
Falguni_Bhimpalasi_Alap4.wav,Bhimpalasi,Falguni Mitra,Voice,277
Falguni_Bhimpalasi_Bandish4.wav,Bhimpalasi,Falguni Mitra,Voice,277
Falguni_Bihag_Alap7.wav,Bihag,Falguni Mitra,Voice,277
Falguni_Bihag_Bandish7.wav,Bihag,Falguni Mitra,Voice,277
Falguni_Darbari_Alap8.wav,Darbari,Falguni Mitra,Voice,277
Falguni_Darbari_Bandish8.wav,Darbari,Falguni Mitra,Voice,277
Falguni_Desh_Alap6.wav,Desh,Falguni Mitra,Voice,277
Falguni_Desh_Bandish6.wav,Desh,Falguni Mitra,Voice,277
Falguni_Jaunpuri_Alap3.wav,Jaunpuri,Falguni Mitra,Voice,277
Falguni_Jaunpuri_Bandish3.wav,Jaunpuri,Falguni Mitra,Voice,277
Falguni_Todi_Alap2.wav,Todi,Falguni Mitra,Voice,277
Falguni_Todi_Bandish2.wav,Todi,Falguni Mitra,Voice,277
Falguni_YamanKalyan_Alap5.wav,Yaman_Kalyan,Falguni Mitra,Voice,277
Falguni_YamanKalyan_Bandish5.wav,Yaman_Kalyan,Falguni Mitra,Voice,277
Manilal_Bhairav_Alap1.wav,Bhairav,Manilal Nag,Sitar,293
Manilal_Bhairav_Gat1.wav,Bhairav,Manilal Nag,Sitar,293
Manilal_Bhimpalasi_Alap4.wav,Bhimpalasi,Manilal Nag,Sitar,293
Manilal_Bhimpalasi_Gat4.wav,Bhimpalasi,Manilal Nag,Sitar,293
Manilal_Bihag_Alap8.wav,Bihag,Manilal Nag,Sitar,293
Manilal_Bihag_Gat8.wav,Bihag,Manilal Nag,Sitar,293
Manilal_Darbari_Alap10.wav,Darbari,Manilal Nag,Sitar,293
Manilal_Darbari_Gat10.wav,Darbari,Manilal Nag,Sitar,293
Manilal_Desh_Alap6.wav,Desh,Manilal Nag,Sitar,293
Manilal_Desh_Gat6.wav,Desh,Manilal Nag,Sitar,293
Manilal_KRAsaveri_Alap5.wav,Komal_Rishabh_Asaveri,Manilal Nag,Sitar,293
Manilal_KRAsaveri_Gat5.wav,Komal_Rishabh_Asaveri,Manilal Nag,Sitar,293
Manilal_Khamaj_Alap7.wav,Khamaj,Manilal Nag,Sitar,293
Manilal_Khamaj_Gat7.wav,Khamaj,Manilal Nag,Sitar,293
Manilal_Multani_Alap9.wav,Multani,Manilal Nag,Sitar,293
Manilal_Multani_Gat9.wav,Multani,Manilal Nag,Sitar,293
Manilal_PuriyaDhanashri_Alap3.wav,Puriya_Dhanashri,Manilal Nag,Sitar,293
Manilal_PuriyaDhanashri_Gat3.wav,Puriya_Dhanashri,Manilal Nag,Sitar,293
Manilal_Yaman_Alap2.wav,Yaman,Manilal Nag,Sitar,293
Manilal_Yaman_Gat2.wav,Yaman,Manilal Nag,Sitar,293
Nayan_AhirBhairav.wav,Ahir_Bhairav,Nayan Ghosh,Sitar,282
Nayan_AhirBhairavGat.wav,Ahir_Bhairav,Nayan Ghosh,Sitar,282
Nayan_Bageshri.wav,Bageshri,Nayan Ghosh,Sitar,282
Nayan_Bhatiyar.wav,Bhatiyar,Nayan Ghosh,Sitar,282
Nayan_Bhimpalasi.wav,Bhimpalasi,Nayan Ghosh,Sitar,282
Nayan_Bihag.wav,Bihag,Nayan Ghosh,Sitar,282
Nayan_Darbari.wav,Darbari,Nayan Ghosh,Sitar,280
Nayan_Desh.wav,Desh,Nayan Ghosh,Sitar,282
Nayan_GaudMalhar.wav,GaudMalhar,Nayan Ghosh,Sitar,282
Nayan_GaudSarang_Long.wav,GaudSarang,Nayan Ghosh,Sitar,282
Nayan_KRAsaveri.wav,Komal_Rishabh_Asaveri,Nayan Ghosh,Sitar,282
Nayan_KhamajAndRaagmala.wav,Khamaj_Raagmala,Nayan Ghosh,Sitar,282
Nayan_Marwa.wav,Marwa,Nayan Ghosh,Sitar,282
Nayan_Marwa_Vocal.wav,Marwa,Nayan Ghosh,Sitar,282
Nayan_Shree.wav,Shree,Nayan Ghosh,Sitar,282
Pittu_Bhairav_Alap1.wav,Bhairav,Prattyush Banerjee,Sarod,247
Pittu_Bhairav_Gat1.wav,Bhairav,Prattyush Banerjee,Sarod,247
Pittu_Bhairavi.wav,Bhairav,Prattyush Banerjee,Sarod,262
Pittu_Bhimpalasi_Alap2.wav,Bhimpalasi,Prattyush Banerjee,Sarod,247
Pittu_Bhimpalasi_Gat2.wav,Bhimpalasi,Prattyush Banerjee,Sarod,247
Pittu_Bilaskhani_Todi.wav,Bilaskhani,Prattyush Banerjee,Sarod,262
Pittu_Darbari.wav,Darbari,Prattyush Banerjee,Sarod,262
Pittu_Desh.wav,Desh,Prattyush Banerjee,Sarod,262
Pittu_GaudMalhar.wav,GaudMalhar,Prattyush Banerjee,Sarod,262
Pittu_Hameer.wav,Hameer,Prattyush Banerjee,Sarod,262
Pittu_Jaijaiwante.wav,Jaijaiwante,Prattyush Banerjee,Sarod,262
